probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0.054,5,0,0,70.19908566644163,220.36508117534277,67.49987729149339,13,1.3,0.6492887584333056,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,10,0,100,68.42664997784212,235.51410989408643,54.75360156286501,8,0.7999999999999999,0.531620601963055,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,8,0,200,69.17800957370282,252.02410319919224,36.908171689642984,13,1.3,0.7665679363852617,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,11,100,0,70.6109192291907,207.596258385051,79.43403697077329,18,1.8000000000000005,0.6825500262717673,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,7,100,100,73.37841280987479,207.89777154059567,78.82093625913147,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,8,100,200,69.07420596610586,234.58597917634356,55.032979543686686,10,0.9999999999999999,0.576316386398504,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,10,200,0,75.31673870761617,228.32780555722465,54.58078364423409,13,1.3,0.5313709978221179,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,11,200,100,71.14346347775846,219.78627922985245,67.8804334981019,8,0.7999999999999999,0.5202549416039046,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,5,200,200,66.84531177656523,247.75618560025148,42.99308216204757,17,1.7000000000000004,0.7791300756830808,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,10,300,0,70.57172581661524,224.22301296861144,65.41247191511256,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,14,300,100,71.32092315598514,255.99877284626717,30.738203195329206,12,1.2,0.7569291420795542,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,9,300,200,69.99549848702836,247.3561385113958,42.71910427416799,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,13,0,0,70.17085741064466,277.9589482047242,12.112125915804661,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,10,0,100,69.50917549470674,248.40084151309904,42.35891950085521,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,9,0,200,72.15623702959813,218.79039699469192,67.19262600441328,12,1.2,0.7152041467621376,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,9,100,0,71.17878344063115,220.29277781074774,67.24114260844797,9,0.8999999999999999,0.5802125555836206,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,12,100,100,71.64101234496407,211.3356610244141,75.61818496909935,10,0.9999999999999999,0.474752964174524,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,14,100,200,67.503008929572,241.96863844572763,48.64169154669942,14,1.4000000000000001,0.6005574418498921,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,12,200,0,70.24019035853513,220.77195493668776,66.89696653789076,16,1.6000000000000003,0.5359701982405461,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,4,200,100,64.36869004824312,214.32523435638123,79.15457048895665,16,1.6000000000000003,0.5630347859765604,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,8,200,200,69.01399402355737,227.58156195352566,62.51735167048263,4,0.4,0.4943238019766287,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,6,300,0,71.57395798156494,243.23404747804412,42.758847403582784,16,1.6000000000000003,0.8530407326103426,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0,4,300,100,71.27727186727002,221.9282670713241,66.93922494012149,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
0.054,7,300,200,69.95954655817374,244.97690826807346,42.83156067937928,15,1.5000000000000002,0.7828206090261514,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=9,12,9
