probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,10,0,0,72.02242809226246,237.57023839491853,48.8362728688394,12,1.2,0.42055842793317616,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,52,14,5,4,3
0.054,10,0,100,69.35563388085285,245.9059830728965,42.966577698358854,14,1.4,0.4483362057109539,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,56,17,5,4,3
0.054,9,100,0,69.09173913745782,241.0220384122789,48.59367532822943,9,0.8999999999999999,0.4750470974780857,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,62,14,5,4,3
0,7,100,100,70.69391855111648,219.41247376528105,70.03544726412277,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,71,13,5,4,3
0,3,0,0,67.1126825860269,219.6464303923273,73.37498952974794,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,82,6,5,4,3
0.054,12,0,100,68.3154222607403,242.0584693153128,48.33000762231828,10,1,0.3240740740740741,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,57,14,5,4,3
0.054,10,100,0,68.48836334696819,229.33018352858676,61.016998037427136,8,0.7999999999999999,0.4419816547756275,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,56,14,5,4,3
0.054,11,100,100,71.88916060679576,261.5175159753318,24.64436866499343,16,1.6000000000000003,0.46493706884811553,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,39,14,5,4,3
0.054,10,0,0,69.6398739412806,240.20152032654389,48.548501925949175,12,1.2,0.47836065651761417,2,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,52,12,5,4,3
0,9,0,100,68.78943366959068,224.32524591222975,66.98723520580491,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,92,13,5,4,3
