probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0,6,0,0,96.95814015937748,172.05346363005836,91.32292059043358,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,72,13,7.5,2,1
0.054,12,100,0,95.87084324000328,262.4384166195917,0,15,1.5000000000000002,0.3333333333333334,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,4,0,0,97.33684317466724,166.37593058032277,96.40910515922435,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,85,12,7.5,2,1
0.054,14,100,0,95.8713514050892,262.3208709966165,0,16,1.6000000000000003,0.3935185185185189,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
0.054,12,0,0,95.99981211827831,261.84151977771745,0,18,1.8000000000000005,0.458333333333334,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
0,6,100,0,99.67626225387193,151.34101041332843,108.99597384671422,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,99,15,7.5,2,1
0.054,11,0,0,93.84481129986574,264.1465764992121,0,17,1.7000000000000004,0.4305555555555561,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,14,7.5,2,1
0,7,100,0,98.86780906005468,157.10754719387953,104.1819567286403,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,93,14,7.5,2,1
0.054,8,0,0,100.5724411552706,257.5447811885719,0,15,1.5000000000000002,0.40740740740740783,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,21,7.5,2,1
0,10,100,0,94.96113590153072,173.37723336480605,91.78430602228283,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,88,22,7.5,2,1
0,6,0,0,99.19181171964202,162.1168994006209,98.7307403011611,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,86,15,7.5,2,1
0.054,12,100,0,100.81854687080046,257.3638396366919,0,17,1.7000000000000004,0.3981481481481486,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,3,0,0,95.82264783926072,154.0075742690324,110.26358550253224,0,0,0,6,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,88,17,7.5,2,1
0.054,15,100,0,92.16550917690758,265.72356351161756,0,18,1.8000000000000005,0.40740740740740783,6,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,21,7.5,2,1
0.054,14,0,0,97.17406246395711,261.4369804948632,0,11,1.1,0.41666666666666713,7,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0,4,100,0,96.88149986092232,195.98182193861848,67.20067193235201,0,0,0,7,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,90,11,7.5,2,1
0.054,10,0,0,98.56067793997528,259.7162651062006,0,14,1.4,0.3842592592592596,8,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,14,7.5,2,1
0,8,100,0,96.68944708588782,177.8022261241778,85.5086705339635,0,0,0,8,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,83,11,7.5,2,1
0.054,13,0,0,99.87409913493973,258.50971670267967,0,14,1.4,0.4490740740740747,9,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,18,7.5,2,1
0,5,100,0,91.56070427532178,187.7305969121823,80.80745569136069,0,0,0,9,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,97,15,7.5,2,1
0,4,0,0,101.04122261626976,148.7038045317174,110.28010114715624,0,0,0,100,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,85,10,7.5,2,1
0.054,14,100,0,94.9533970313027,263.0054732022423,0,18,1.8000000000000005,0.3935185185185189,100,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,8,0,0,97.85121132488254,176.900089594852,85.57696125218996,0,0,0,101,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,96,14,7.5,2,1
0.054,10,100,0,95.70046921586304,262.57057299185885,0,14,1.4,0.44444444444444503,101,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,2,0,0,96.56788366158756,184.0815551703602,79.52424274449646,0,0,0,102,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,75,11,7.5,2,1
0.054,16,100,0,97.67052513460985,260.9549348775141,0,13,1.3,0.3472222222222224,102,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,19,7.5,2,1
