probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,7,0,0,0,359.6316727592832,0,0,0,0.5509259259259269,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0,11,100,0,0,360.0054187052362,0,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,119,11,-99,2,1
0,7,0,0,0,360.00472685880976,0,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,120,7,-99,2,1
0.054,11,100,0,0,359.6934966787846,0,0,0,0.5555555555555566,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0,7,0,0,0,360.1455598037964,0,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,97,7,-99,2,1
0.054,11,100,0,0,359.68421828951557,0,0,0,0.4490740740740747,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0,7,0,0,0,360.1461021693492,0,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,117,7,-99,2,1
0.054,11,100,0,0,359.54196431547774,0,0,0,0.5416666666666676,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0,11,0,0,0,360.08145407370574,0,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,114,11,-99,2,1
0.054,7,100,0,0,359.5608820557461,0,0,0,0.5277777777777787,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0.054,7,0,0,0,359.5378151099524,0,0,0,0.5462962962962973,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0,11,100,0,0,360.1992865850548,0,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,118,11,-99,2,1
0.054,10,0,0,0,359.4309617386367,0,0,0,0.615740740740742,6,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0,8,100,0,0,360.0537022129114,0,0,0,0,6,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,133,8,-99,2,1
0.054,11,0,0,0,359.56427505265657,0,0,0,0.5138888888888897,7,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0,7,100,0,0,360.05986926157766,0,0,0,0,7,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,111,7,-99,2,1
0,9,0,0,0,360.1313678702724,0,0,0,0,8,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,124,9,-99,2,1
0.054,9,100,0,0,359.42828533778885,0,0,0,0.5740740740740752,8,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,7,0,0,0,360.10632923382934,0,0,0,0,9,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,119,7,-99,2,1
0.054,11,100,0,0,359.4659135857831,0,0,0,0.5509259259259269,9,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
