probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0,11,0,0,74.60156175634184,266.96242437641877,18.50043873109807,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,0,100,68.51128840776578,267.17827037120884,24.311316365095387,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,0,200,73.49242700227714,250.16454905921103,36.53533465667213,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,10,100,0,70.99411854603035,262.3548117778216,24.393522969968448,15,1.5000000000000002,0.8226997837898894,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,100,100,71.25981883163352,276.4987705301447,12.333557559971975,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,100,200,68.52229389979252,267.20722147857566,24.30225116123252,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,200,0,73.60048083536965,256.04352986860937,30.48238647819248,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,200,100,69.34394693776157,284.6653131961182,6.065221693114043,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,200,200,73.73370082372404,268.2254905836743,18.30250945696762,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,12,300,0,70.52011356715177,283.3578354719926,6.1525525295043035,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,300,100,67.19280550213337,274.5675948225101,18.267984279715957,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,13,300,200,71.55832405117827,273.4054671733792,12.134391643526037,23,2.3000000000000007,0.7494041660985895,0,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,0,0,73.71624812772738,266.25833362882474,20.10595466894003,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,11,0,100,71.54733847602434,264.07737383880004,24.57178851313907,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,10,0,200,75.59290549627441,263.45260125092426,18.483926326895908,18,1.8000000000000005,0.7276243181142945,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,100,0,72.46087218926672,262.8458447191539,24.726154759975987,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,4,100,100,69.23740275744997,260.33322072228674,30.473871920204825,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,11,100,200,69.75395744281442,271.8064712862402,18.482336708900192,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,200,0,68.68324139983835,273.4321746889051,18.12451576686178,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,11,200,100,73.83404502018394,283.345078751679,0,22,2.2000000000000006,0.7422292750037538,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,5,200,200,72.4976976348738,253.2133984604543,34.44442642649345,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,13,300,0,68.13119862138063,292.02534035342984,0,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,300,100,72.96981292347743,281.0334990121373,6.026753142467735,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,13,300,200,69.74435607862065,255.23498487177545,35.02654593902666,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,0,0,70.60036161335208,283.2703731218825,6.217564880685712,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,100,65.72312580184344,288.1771739571218,6.133324514382388,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,9,0,200,70.50295957564475,277.33174385256694,12.221536105917524,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,11,100,0,71.53499347879124,276.4214261156204,12.171441884560837,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,100,100,69.3015560622928,260.1116286927133,30.64808751743348,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,8,100,200,69.90302529255325,282.1876264047088,6.113119396396536,12,1.2,0.6395908207689089,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,200,0,69.31212832067082,278.59402952267993,12.1101335352018,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,200,100,68.32722814258433,291.79956469493175,0,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,200,200,71.23209927390688,270.5355127959419,18.478944859584196,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,9,300,0,74.37682647550203,249.38121721814292,36.354348780311206,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,300,100,66.03963589150551,287.87912652099084,6.119612194598003,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,12,300,200,74.31028377460083,259.20656039348466,24.505655200805627,16,1.6000000000000003,0.6376800156306884,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,0,0,71.71181651355721,282.1714661668597,6.145608661600049,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,100,64.8429476677387,283.01251164524734,12.15334676342744,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,200,71.39798732227194,258.14474408737675,30.490078308146767,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,9,100,0,73.80459998500386,261.98869779650516,24.410840201954912,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,12,100,100,72.15988859979534,275.82576126778036,12.030755835375688,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,13,100,200,67.35372557380387,272.7139832839401,18.12417287316609,12,1.2,0.6903957421276442,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,200,0,72.69507779403246,281.29906568100574,6.009389836479166,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,200,100,71.56741126740923,282.30639151598507,6.14646110133172,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,11,200,200,71.19661902240804,270.62503351421236,18.199153339563303,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,300,0,68.41507812277486,291.69023127752996,0,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
