probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0.054,10,0,0,74.16853952924262,207.9678426077522,75.34048071132838,11,1.1,1.5965408043628966,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,0,500,71.1432461445218,266.34687631931956,18.834761357563753,11,1.1,2.637526053170242,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,7,500,0,71.32209455079443,264.34429261992807,24.36674974373221,0,0,0,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,11,500,500,73.99890536769372,255.43201192298403,30.612701696071888,0,0,0,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,1000,0,71.4487299724019,248.45171874246412,36.64933960418106,15,1.5000000000000002,2.07470872680485,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,1000,500,71.95633159997878,239.3270476580869,48.78895435554977,0,0,0,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,1500,0,69.56732630751048,256.06651559828896,30.38654578311504,18,1.8000000000000005,2.24205815430208,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,500,75.1140478953347,217.96736548809085,66.97506835246249,0,0,0,0,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,0,0,68.65289279097257,233.91851721614657,54.66769981589224,10,1,1.8933429898982364,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,0,500,70.79549375482492,254.6901588724764,30.669002992456683,18,1.8000000000000005,2.1593581307282848,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,10,500,0,70.70324184285847,249.43829220441307,40.0580952100976,0,0,0,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,500,500,68.68232085778673,257.8771617037941,30.51717941459318,10,1,2.1282667939109787,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1000,0,68.80607628131888,266.7640356254925,24.48564071622289,0,0,0,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,1000,500,71.33956875410263,264.65439880807355,24.06301006503152,0,0,0,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,1500,0,72.94824029929333,241.44088642390025,42.629851138071466,11,1.1,1.965925464761927,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,1500,500,71.36935741995677,239.58990586463537,49.089899146495576,0,0,0,1,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,0,0,68.29155886690589,255.14007921967,36.57492851934223,0,0,0,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,0,500,70.46973728583038,237.24764354081017,49.21080182926501,14,1.4,1.7913142664548662,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,500,0,69.49860940820061,238.1746116497728,48.78725653297456,17,1.7000000000000004,1.8949880781358623,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,7,500,500,74.59685467891555,214.62452310526385,67.15096482180863,16,1.6000000000000003,2.08991368628384,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,8,1000,0,70.2891398149661,230.89415626830683,54.82997897197381,16,1.6000000000000003,2.4634220870734596,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,1000,500,68.29625979022262,260.86331241792664,30.886198857420172,0,0,0,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,12,1500,0,72.19363985194175,251.4075822742992,36.4375639605916,0,0,0,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,500,73.38096225726332,225.80710900703033,60.843390662271965,0,0,0,2,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,0,0,65.80413735835565,243.11145652989185,51.08722869836757,0,0,0,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,0,500,70.38824019027511,224.89396736567028,60.96882472173417,17,1.7000000000000004,2.1320862421895512,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,5,500,0,68.80679654284324,228.9656400216939,59.18082173199155,9,0.8999999999999999,2.1988998884250295,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,14,500,500,66.24871840381022,269.2237949220476,24.527686769785817,0,0,0,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,1000,0,74.35164968006121,263.71473219686965,18.06976286379597,15,1.5000000000000002,2.4602840566542135,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1000,500,67.02928307599556,244.4793299339132,48.62227243649242,0,0,0,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,3,1500,0,69.36697530227444,241.99611642038047,48.65284359473584,0,0,0,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,11,1500,500,65.34582916694946,241.65084980376855,49.08704762942268,19,1.9000000000000008,2.19591400406179,3,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,0,0,67.08024090668124,210.49890473576767,79.24100433287921,13,1.3,2.0627939438011125,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,9,0,500,70.38818065941227,249.13650453328847,36.34425053040695,17,1.7000000000000004,2.61602299325972,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,12,500,0,69.90341998851343,247.76487505598456,38.964706614479226,12,1.2,2.1701350577046754,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,9,500,500,70.56495684392603,222.2384854118739,67.23022874161467,0,0,0,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,13,1000,0,69.18817015845153,278.67350750113565,12.172595858588934,0,0,0,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,5,1000,500,71.60256297714432,270.1905157140439,18.265304661955845,0,0,0,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,6,1500,0,67.35337971125446,246.31744993609937,42.626581692036126,15,1.5000000000000002,2.3420646637605125,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0,8,1500,500,70.359631736291675,241.3949458070405,48.37461158021065,0,0,0,4,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
0.054,10,0,0,71.64225403820312,248.2587458926799,36.37408521729938,13,1.3,2.43202645814414,5,D_pmar=0.054_dist=500_repair_6_males=8_nmar=4,8,4
