id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,8,360.489246929,1497.85477625,2024.45922259,556.0,67.8778719042,14.1424682378,1727.0,292.273355654,62.9168217858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,5,360.475494008,1098.11671848,585.128157402,564.0,68.9503646134,13.6904284826,1728.0,291.08305095,61.7246165295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,14,360.485298917,1679.92957527,323.171753738,566.0,71.6548445398,15.3092055229,1699.0,288.538031748,62.0131827481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,7,360.498690023,158.621597075,1247.53366154,561.0,76.5920063602,16.7833650566,1662.0,283.626885931,60.7011784086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,9,360.312374555,1036.61377778,1148.34929771,562.0,73.6991140514,16.367813373,1671.0,278.172322767,58.677001681,46.0,8.24034959239,1.95556555351,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,8,360.439925622,868.110113286,1238.41917615,553.0,72.3063270949,15.9180587473,1704.0,287.705183558,62.1788387037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.037,13,360.655122469,1467.43337694,1440.25151654,573.0,72.6830882671,15.3203528365,1633.0,280.620904592,61.4711682589,25.0,4.07281143618,0.822110926785,15.0,1.5,0.15,61.0,1.19466315158,0.0288021847078
7,0.0,7,360.022342114,2122.16824194,1449.11444055,574.0,70.8697980137,14.4503893308,1619.0,272.909937167,57.7153910164,102.0,16.2412906709,3.38548269069,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,7,359.882857564,549.93863724,261.987805521,576.0,72.7065065391,15.1779677686,1710.0,287.353850022,60.7195687937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,9,360.035932988,43.2719317357,840.031656055,570.0,72.3383239756,16.0597395323,1707.0,287.797726446,62.2581075428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,12,360.404747809,1659.21300436,1725.44223282,558.0,68.2581147833,13.9930699591,1679.0,287.828813972,62.0554153956,21.0,4.11049679467,0.969929325471,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,8,360.529237723,925.460515469,1891.24248246,569.0,72.9521360279,15.4021517434,1669.0,283.047673642,59.9177344799,25.0,4.01856975769,0.970700535691,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,6,360.598161674,758.006619742,100.481033806,576.0,72.7342977846,15.0162863173,1723.0,287.400053406,60.6101685429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,12,359.972088604,1522.95249008,372.400281201,575.0,72.5920823621,15.3414863303,1689.0,287.416253788,61.8225344269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,6,360.499869117,651.697880184,598.693979137,567.0,71.7712695806,15.3255597447,1699.0,288.238355268,61.5193557248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,14,360.294840318,1801.75713823,441.11937435,578.0,71.5277101268,14.8289555359,1724.0,288.54668721,61.0817854585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,3,360.443979059,2124.14697669,97.7733513382,549.0,67.1438056323,12.8719299837,1755.0,293.031181541,62.4632090753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,8,359.969418786,1955.80164109,793.675228843,571.0,69.1774054227,13.8879623338,1689.0,290.879541664,63.8938846793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
